fips,state,population,pop_change_2018,unemployment_rate,median_hh_income,pct_below_povert,feb_temp_avg,aug_temp_avg,prc_bachelors,physicians_per_pop,per_dem_2016,per_gop_2016
48009,TX,8786,0,3.1,61190,14.3,8.4,30.4,23.4,224.8,0.0922932771141,0.886624502225
48011,TX,1892,11,2.8,57210,15.3,5.3,28.6,23.2,224.8,0.0688298918387,0.908554572271
48013,TX,50310,1241,3.8,50594,23.9,14.7,31.4,13.3,224.8,0.340683572216,0.63197353914
48015,TX,29989,232,3.6,59942,16.9,14.2,30.2,23.5,224.8,0.189228886169,0.786372909017
48017,TX,7027,-27,4.4,45051,26.1,6,26.8,17.7,224.8,0.222533632287,0.752802690583
48019,TX,22824,500,3.4,53008,22.8,13.4,29.9,23.8,224.8,0.169000293743,0.79888377558
48021,TX,86976,2167,3.4,61883,19.2,13.3,31,20.4,224.8,0.373628318584,0.577486725664
48023,TX,3582,23,3.3,41180,28.6,8.1,30.8,19.7,224.8,0.128016085791,0.849195710456
48025,TX,32587,-12,5.1,41806,32,15.3,31.1,10.2,224.8,0.407070229369,0.560770867817
48027,TX,355642,7791,4.1,54292,19.1,11.8,30.5,24.5,224.8,0.400089362653,0.55085692401
48029,TX,1986049,27208,3.3,54210,23.7,13.9,30.9,27.6,224.8,0.544659220051,0.409804483668
48031,TX,11702,189,2.6,64832,17.2,12.4,30.1,27.1,224.8,0.219439054507,0.742988181337
48033,TX,648,-22,3.2,66101,14.5,9,30.1,35,224.8,0.0849315068493,0.904109589041
48035,TX,18691,373,3.7,48460,24,10.8,30.1,18.5,224.8,0.163780941388,0.811209439528
48037,TX,94324,347,4.9,47339,25.5,10,28.9,19.9,224.8,0.256193791703,0.722744415434
48039,TX,370200,7500,4.5,74225,13.1,16,29.7,29.7,224.8,0.358075081466,0.603951918601
48041,TX,226758,3186,2.8,50113,20.2,12.5,30.4,40.8,224.8,0.348915742928,0.585468532316
48043,TX,9267,-63,3.4,45670,21.2,12.7,29.4,39.4,224.8,0.442262186465,0.490534784666
48045,TX,1516,-2,3.9,44409,24.3,5.9,29.1,22.7,224.8,0.123978201635,0.851498637602
48047,TX,7114,-39,6.5,30116,48.6,17.7,32,17.6,224.8,0.746147919877,0.236132511556
48049,TX,37924,54,3.7,47097,21.2,10.8,30.2,19.3,224.8,0.116209047244,0.860993619614
48051,TX,18389,321,3.6,53626,23.7,12.9,30.4,17.1,224.8,0.214686825054,0.765442764579
48053,TX,47542,888,2.9,56696,18.6,11.9,30.5,25.1,224.8,0.198729391998,0.766302635724
48055,TX,43247,822,3.6,52588,20.7,13.5,31.4,14.8,224.8,0.39824066957,0.556495003843
48057,TX,21561,-209,4.1,52085,24,15.9,30.6,15,224.8,0.304441569642,0.666666666667
48059,TX,13994,26,3.4,50330,20.2,9.8,29.6,19.1,224.8,0.102231821454,0.874370050396
48061,TX,423908,727,6.2,38106,40.2,18.9,31.7,17.3,224.8,0.646148315978,0.32059605246
48063,TX,13033,159,4.9,43714,30.5,10.1,29.4,18.6,224.8,0.277410832232,0.704755614267
48065,TX,6005,-5,2.8,64799,12.2,4.4,27.9,30.4,224.8,0.0845500848896,0.888624787776
48067,TX,30119,139,5.1,44154,32,10.3,29.1,16.4,224.8,0.193865242116,0.791142512494
48069,TX,7665,-95,2.9,45689,24.2,5.3,27.1,14.8,224.8,0.263527054108,0.707915831663
48071,TX,42454,1055,5.4,89513,10.9,15.3,29.4,21.5,224.8,0.176399975992,0.796950963328
48073,TX,52592,410,4.1,43483,24.6,11.9,29.5,16.9,224.8,0.207532483085,0.772169331178
48075,TX,7291,10,2.5,42291,25.4,6.1,30.1,17.3,224.8,0.121401151631,0.864683301344
48077,TX,10456,-39,3.2,58356,16.9,8.4,30,18.6,224.8,0.106964677709,0.873278786669
48079,TX,2836,-17,4.2,42873,31.8,6.7,27.1,8.2,224.8,0.210876803552,0.753607103219
48081,TX,3370,67,3.4,44804,21.4,10.5,30.6,17.1,224.8,0.098383696416,0.888966971188
48083,TX,8397,-18,4,39484,30.6,10.8,30.1,15.6,224.8,0.106464924347,0.874002751032
48085,TX,1005146,33753,3.3,96936,6.7,9.3,30,51.7,224.8,0.392200143039,0.562046866454
48087,TX,2962,-16,3.2,39536,26.7,4.8,29.3,18.4,224.8,0.125649913345,0.851819757366
48089,TX,21217,-11,3.3,48258,21.9,14.2,30.5,18.6,224.8,0.233136792453,0.745636792453
48091,TX,148373,7583,3.2,76523,10.2,13.2,30.6,35.3,224.8,0.230090795394,0.730846070135
48093,TX,13534,-13,3.6,52251,25,10.6,30.2,19.8,224.8,0.151305683564,0.825652841782
48095,TX,4276,-35,3.6,40987,25.7,11,30.1,11.9,224.8,0.138706654171,0.829428303655
48097,TX,40574,590,3.1,52047,24.9,8.5,29.6,20.5,224.8,0.147539952183,0.828866238832
48099,TX,74808,-75,4.1,48099,20.1,11.1,30.2,15.7,224.8,0.278976112981,0.673691178904
48101,TX,1389,8,4.3,38304,40.1,6.8,30.3,15.3,224.8,0.144082332762,0.833619210978
48103,TX,4794,81,3.8,61987,13.6,11.8,31.6,12.4,224.8,0.216509775525,0.758146270818
48105,TX,3499,-56,3,49117,23.4,11.7,30.5,14.1,224.8,0.266666666667,0.702508960573
48107,TX,5779,-93,4.5,37911,37.1,7.1,28.9,12.8,224.8,0.273364485981,0.689252336449
48109,TX,2204,-33,3.2,42164,32.7,9.8,28.8,9,224.8,0.595800524934,0.367454068241
48111,TX,7200,-11,2,50587,18.1,2.6,25.6,13.6,224.8,0.144625407166,0.819543973941
48113,TX,2637772,14973,3.7,59838,20.7,10.2,30.5,30.7,224.8,0.611264385885,0.348851460536
48115,TX,12619,-147,4.3,43726,29.9,8.9,29.2,12.5,224.8,0.234418865806,0.740033688939
48117,TX,18760,-91,2.8,44230,25.3,4.8,27.1,12.2,224.8,0.282075696263,0.692930254701
48119,TX,5349,63,3.4,44410,26,9.4,30.1,21.3,224.8,0.175515577007,0.805616498464
48121,TX,859064,23734,3.2,88384,8.1,9.4,30.2,44.5,224.8,0.375059242312,0.576824066529
48123,TX,20187,-21,3.1,49208,25.2,14.8,31.6,12.8,224.8,0.17018469657,0.807681031955
48125,TX,2249,42,4.2,39627,27.5,7.5,29.9,16.7,224.8,0.140814081408,0.830583058306
48127,TX,10308,-38,3,37177,35.8,15.4,32.4,14.1,224.8,0.673798449612,0.302015503876
48129,TX,3319,-32,3.4,40945,27.8,4.8,28.8,19.8,224.8,0.130136986301,0.83904109589
48131,TX,11212,-60,5.3,35156,36.1,16.4,31.6,9.3,224.8,0.669151238278,0.316422216879
48133,TX,18322,-20,3.4,44773,26.1,10,29.8,13.3,224.8,0.111896178803,0.866330209084
48135,TX,162124,4951,2.7,60431,17.9,10.4,30.4,15.6,224.8,0.281115112858,0.68666318423
48137,TX,1928,-13,2.8,37812,37.3,12,29.5,20.8,224.8,0.283568075117,0.695774647887
48139,TX,179436,5800,3.3,76792,14,10.6,30.4,23.1,224.8,0.256834327033,0.710500443993
48141,TX,840758,213,4.2,43948,28.9,9.9,29.6,22.8,224.8,0.691392106739,0.259277385512
48143,TX,42446,584,3.1,47087,20.1,10.6,30.1,29.7,224.8,0.156335988414,0.811368573497
48145,TX,17335,-68,3.9,37428,27.7,11.3,30.2,12.9,224.8,0.321483180428,0.657110091743
